"Gene","Sample_2881_85599_BL","Sample_2881_90802_BL","Sample_2881_90803_BL","Sample_2881_90806_BL","Sample_2881_90808_BL","Sample_2881_90810_BL","Sample_2881_90812_BL","Sample_2881_90835_BL","Sample_2881_90837_BL","Sample_2881_90839_BL","Sample_2881_90841_BL","Sample_2881_90843_BL","Sample_2881_90846_BL","Sample_2881_90848_BL","Sample_2881_91086_BL","Sample_2881_91087_BL","Sample_2881_91090_BL","Sample_2881_91092_BL","Sample_UH12_Chick_A_BL"
"LOC120747672",16,55,2,1,38,90,53,213,2,0,1,188,91,1,1,0,0,1,0
"LOC120764994",7,5,2,1,2,4,0,3,2,2,5,15,5,5,3,8,8,8,2
"LOC120759257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC131378766",8,41,0,1,35,152,38,180,0,0,0,79,32,1,0,0,4,2,0
"LOC120764913",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC120752081",0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"LOC131378695",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"SMKR1",2,0,2,1,1,19,1,37,3,2,7,26,11,2,13,5,7,4,1
"LOC120747675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120748038",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC120747646",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120747647",0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"LOC120761930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC120752998",0,0,4,0,0,0,4,0,0,0,1,2,0,0,0,2,0,1,0
"LOC120753014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NR2F6",2,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,2,0,0
"OCLN",0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0
"LOC120748183",0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0
"LOC131378474",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120754260",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC120748185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120748176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120747585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120747993",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYG1",22,10,3,7,8,12,9,14,10,10,17,16,4,5,15,3,15,6,0
"AAAS",10,3,3,1,5,17,4,5,6,0,3,9,4,3,5,2,5,5,0
"SP7",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"SP1",86,164,74,116,79,247,60,396,123,74,268,376,128,53,199,103,354,130,131
"VDR",0,0,0,3,3,6,1,0,3,1,1,3,0,0,2,1,0,0,0
"LOC120765814",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"LOC120750608",18,51,39,23,25,92,12,102,19,27,95,140,59,30,40,23,74,25,25
"LOC120766010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120765048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120766009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120757941",0,0,59,1,25,0,7,22,1,23,57,84,0,0,31,17,34,7,0
"ATP5PO",0,2,0,1,2,4,0,1,1,2,5,8,0,1,1,1,1,2,1
"LOC120748101",1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"LOC120748059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120747917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC131378750",0,2,0,0,0,1,0,3,0,0,0,2,2,0,0,0,0,0,0
"LOC120749892",8,5,3,3,4,7,2,5,4,3,6,11,2,1,3,2,5,1,3
"LOC131378808",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120748193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120748084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120747627",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAFAH1B2",208,241,138,180,193,233,134,160,152,27,224,703,177,47,105,147,370,89,61
"SIDT2",313,353,426,326,155,613,192,655,477,363,923,657,297,281,738,508,1067,516,209
"TAGLN",52,32,26,20,13,33,11,36,48,26,65,66,19,19,58,55,82,70,8
"PCSK7",97,135,139,127,83,283,89,229,145,81,239,148,168,88,225,118,265,105,137
"LOC120750607",14,56,36,36,19,67,8,81,28,15,82,192,55,25,38,11,47,20,16
"LOC120747660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC120756389",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
