"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYG1",9.56378655678118,-1.07207359103981,0.634267566472203,-1.69025447257643,0.0909792810478802,NA
"SP1",143.410585776183,-0.77571750241074,0.32458584766255,-2.38986852937963,0.0168544049225458,0.201883184558938
"LOC120750608",40.2790034972418,-0.4979731304753,0.372693696032273,-1.33614583712245,0.181501610389819,0.523727419887451
"LOC120757941",15.3494325208196,1.31691798500121,1.93500936326761,0.680574476795998,0.496140781407904,NA
"PAFAH1B2",161.683249462757,0.0910596932632142,0.37145252143583,0.245144905494861,0.80634423392042,0.932167560799474
"SIDT2",442.314387340963,-0.838785198614778,0.251259590618565,-3.33832112258803,0.000842862794591417,0.0686882402724861
"TAGLN",37.257759201284,-1.04822163852064,0.505340722476687,-2.07428689574685,0.0380526741047387,0.280486490245679
"PCSK7",144.811409296472,-0.616622561595782,0.288886275073506,-2.13448202563062,0.0328033434572298,0.261037429582003
"LOC120750607",34.9703397781108,-0.0698782936855181,0.42791726707145,-0.163298607143727,0.870283330521539,0.955674121454279
"LOC131378794",7.20144750925038,-1.06187437552762,0.683486747463625,-1.55361370131632,0.120276589113273,NA
"LOC120766032",8.43079123251745,-0.78570902831273,0.601649978621286,-1.30592380326054,0.191578470942365,NA
"LOC120747632",30.0347278887626,-1.61155143798213,0.557064946126732,-2.89293277056334,0.00381662981505681,0.111369722170514
"LOC120747636",7.80584624375816,-0.185315437435261,0.687937724172882,-0.269378216840876,0.787638647258163,NA
"PRKAG1",112.677161635231,-0.843132668858666,0.341239149533487,-2.47079700559365,0.0134812319635008,0.184101851440267
"KMT2D",76.7004972201217,-0.0400132321598737,0.313599431462293,-0.127593446114665,0.898470717981043,0.964712739162159
"LOC120765350",80.7777706275889,-0.217969355249402,0.392317435407987,-0.555594362057162,0.578488186506263,0.822900966041716
"PCBP2",291.118213059105,-0.36197385605921,0.264754351340345,-1.36720644713366,0.171560605108731,0.51278653687824
"SNAPIN",42.8190581110057,0.00147841247259907,0.336951471701359,0.0043876124509389,0.996499202999004,0.999602641121943
"CZH9orf40",117.553959368355,0.386806632446292,0.325707191579879,1.18759008841667,0.234994944658893,0.578422782268105
"PLEKHG3",57.0554155530427,-1.07241795690775,0.519911621229106,-2.06269279838848,0.039141824574933,0.281954527608996
"SPTB",23399.061484198,-0.268588929179238,0.253133977966337,-1.06105443187464,0.288665164936027,0.622105706940609
"CCT3",325.701738884965,-0.317713898992313,0.246398251437159,-1.28943244174499,0.197247789021588,0.541413235333019
"LOC120764362",167.692675490606,-0.270582639888598,0.437768544139082,-0.618095209240599,0.536512580103524,0.802344611857304
"THOC5",34.7188386556086,-0.153815263010478,0.357861850650034,-0.429817435781663,0.667328448581274,0.871834913023764
"LOC120764604",9.32775801377061,-0.531302648619855,0.539791221902059,-0.984274339897021,0.324980642611844,NA
"LOC131378795",9.04595387881843,1.7836749333811,1.01755126601536,1.75290915844054,0.0796176013059964,NA
"LOC120765797",90.9130275608261,-1.042449578712,0.378852851573322,-2.75159491180508,0.00593058314125213,0.125357701148217
"RHOG",8.69129998216282,0.727994874687221,0.890086838920414,0.817891966103224,0.413418878140331,NA
"ZDHHC18",778.120134493197,-0.560957616678105,0.187649161314925,-2.98939581049695,0.00279529762944359,0.104027272788472
"SERPING1",168.137366541162,-0.465266644983905,0.773156718891671,-0.601775336895306,0.54732369419221,0.808364355897388
"LOC120754801",31.7738718531723,-0.337930442910088,0.723853964057617,-0.466848922144176,0.640607971369756,0.854427054865532
"YPEL4",13.3660859728717,-0.611444026273371,0.768100209571719,-0.796047206671514,0.426004597728763,NA
"LOC120750287",35.3141789386699,-0.363931620161984,0.538497314402736,-0.675828106154313,0.499149787719181,0.784626810163268
"LOC120762097",710.000307955377,-0.366960045987602,0.23226905341609,-1.5798921147288,0.114131575344182,0.443925230378407
"LOC120760311",9.43944899519422,0.379039538030944,0.894141327956196,0.423914571645337,0.671628116740578,NA
"LOC120756231",5.9045220331066,-0.504761469481967,0.841862034545001,-0.599577423342025,0.548787897075428,NA
"LOC120749495",13.8826767181396,1.1395657362583,0.653241732509971,1.74447785489717,0.0810757996229823,NA
"LOC120748875",12.5783374587769,1.18707413048959,0.801901906507538,1.48032336730506,0.138786970085816,NA
"RBM18",1466.62817715423,-0.324443233518619,0.260507938205384,-1.24542551660299,0.212975378637408,0.559442897515895
"LOC120760312",9.67593914738799,-0.724286428009212,0.757306347400275,-0.956398200669497,0.338871093446639,NA
"LOC120766065",10.7138877193057,0.745721260045947,0.854434332117154,0.872766030126816,0.382790618815467,NA
"BUB1B",9.39857734476141,-0.478217010053204,0.601526184476655,-0.795006140039052,0.42660993051183,NA
"GPN2",243.088841397443,-0.844448686746504,0.305938567285898,-2.76019036840613,0.00577676886631712,0.125237386576183
"SFN",42.1913827678815,-0.321442510544482,0.362060643643327,-0.8878140062667,0.374640807529249,0.693772227222198
"TRMT10B",94.5399799287406,0.0338979177569965,0.262870889905272,0.128952725686788,0.897395055845112,0.964712739162159
"FRMPD1",8.36926200918012,-0.0443644178284104,0.747497017101798,-0.0593506285823327,0.952672836376121,NA
"LOC120747972",18.8439533193037,-0.59625082223252,0.529285169384507,-1.12652093185586,0.259945085712511,NA
"POLR2H",139.054687303356,-0.708526163959502,0.344694555108061,-2.05551887449276,0.0398289145294443,0.283880693231993
"LOC120748733",76.6565848356888,-1.38201459115392,0.88644692782584,-1.55904944534418,0.118984677719914,0.451561401646093
"PRXL2A",5.05823037675232,-0.568820370813446,0.883717750586588,-0.643667472375517,0.519791086995106,NA
"NAB2",67.1472323641919,-0.621975537691156,0.406776654874857,-1.52903449654087,0.126255892298603,0.460126538527883
"STAT6",52.7554138627226,0.389382279630802,0.318444551549386,1.22276320237313,0.221419147638549,0.566658764520296
"HARS1",43.0725555934246,-0.270308433258048,0.281446031010824,-0.960427234618393,0.336840236681303,0.663285985709559
"EMC1",203.625576343963,0.0522047266500818,0.215541888980137,0.242202232230101,0.808623465468482,0.933735995191122
"CHEK1",15.7270487901418,-0.180361935806169,0.53017348171345,-0.34019418553954,0.733710296612383,NA
"KLF8",61.316505803788,-0.509320071751645,0.450585402189292,-1.13035191392569,0.25832796760397,0.599204402141594
"RBMX2",361.635716864292,-0.597374124063201,0.218087884087963,-2.73914402242656,0.00615993823991252,0.127029945898684
"RAB33A",68.0559118474388,-0.867532102014983,0.519518808240335,-1.66987621671178,0.0949438567774489,0.407508292415831
"MARS2",20.9215398252592,0.322132581471309,0.360982808918609,0.892376516312003,0.372191153993172,NA
"TMEM268",42.7702261447164,-0.0927170160230164,0.647158986177209,-0.143267756460741,0.88607871971823,0.962447823797063
"LOC120759825",1447.1957025961,-0.498012758725725,0.224812957941989,-2.21523155642226,0.0267441749462333,0.240910693538298
"LOC120748239",87.4057197616904,0.448985221140687,0.367403524809971,1.22204930225673,0.22168898332217,0.566841553045714
"BCAR1",42.5815321845925,-1.1133093473941,0.404037908373776,-2.75545765464208,0.00586100906482958,0.125357701148217
"TIMM10B",171.581031544898,-0.663356233248722,0.446137213138414,-1.48688836912359,0.137044296630009,0.477590245300766
"LOC120748452",637.690626859963,-0.599486513470628,0.210615815197185,-2.84635089207033,0.00442234346443915,0.117304828209672
"RRP8",47.1177328641161,-0.554043058881861,0.427791346663133,-1.29512451152535,0.195277280463476,0.539920645271618
"CCDC40",15.5179578259046,-0.789979914137545,0.897693515458336,-0.880010716947425,0.37885350391091,NA
"MCTS1",31.2795107891459,-0.143289061085682,0.342764063962579,-0.418039917689053,0.675917932138341,0.875930378293959
"C1GALT1C1",95.5881250656695,-0.261351649582017,0.347952569348191,-0.75111286021425,0.452584736789173,0.754940359961027
"SSBP1",15.9898147120439,-0.163754469070927,0.467729205585259,-0.35010528980337,0.726259681140166,NA
"LOC120759797",70.474827198126,0.00323994445235454,0.291770200398857,0.0111044392056675,0.991140121484956,0.997573662395829
"JAGN1",23.238864469846,-0.338672305101458,0.410408088795099,-0.825208650481898,0.409253143103868,NA
"IL17RE",25.291775064859,0.205424678360594,0.516921415057723,0.397400208961463,0.691072361429281,0.883363670230918
"IL17RC",141.821678891227,-0.286160336866097,0.524386898235489,-0.54570458916689,0.585269016870403,0.825748279014133
"TAGAP",23.0934859316186,0.703301773406631,0.442449135753426,1.58956525524456,0.111932834038384,NA
"FAAP100",27.7471592754797,-0.558765283102394,0.529660791085486,-1.05494930435999,0.291448511073655,0.626173035539255
"CD59",3576.33331725212,-0.768942963262258,0.188871324295139,-4.07125309324708,4.67609093248453e-05,0.0150614662225359
"WDR18",30.6377711100125,-0.0861986799624772,0.368751112589852,-0.233758426807386,0.815172526023879,0.93518096438696
"EDEM2",232.018375338793,-0.326236917743698,0.203154376716237,-1.60585719597556,0.1083052902009,0.433734152113018
"LOC120757004",1221.23448451468,0.0940894304036909,0.172170003914244,0.546491422806472,0.584728182026084,0.825748279014133
"ARHGDIA",532.631903765304,-0.0934604843490438,0.200879361850402,-0.46525677644598,0.641747584149378,0.854891459260313
"PTPMT1",61.9717764467356,-0.317683583453609,0.337384080983966,-0.941608099964584,0.346393321196566,0.670794164830561
"KBTBD4",10.1773109673186,0.43970717178234,0.613879700666391,0.716275796878476,0.47382106850423,NA
"LOC131378697",59.9653157339552,-1.65941108737619,1.19762793095994,-1.38558148526656,0.165874734960329,0.506661486535807
"SC5D",59.5262397207274,-0.754707010120315,0.446634027008814,-1.68976603769919,0.0910727236610977,0.400890921425786
"ENY2",196.843282939862,0.170972243249034,0.273018548721575,0.626229404740527,0.531164482916819,0.798710563744614
"RBM41",15.8924876756117,0.153199802555528,0.46113445436713,0.332223717192815,0.739720336136046,NA
"RCCD1",30.2475978311847,-0.614452159972014,0.374300670704436,-1.64160047807452,0.100672828531919,0.420080821832142
"PRC1",79.0249739757441,0.118745936441051,0.418069060723491,0.284034260357738,0.776384125425538,0.921794317075362
"RPL17",622.566352141797,-0.325609088575273,0.295319218891906,-1.1025665373118,0.270215448670567,0.608597668219422
"LOC120766015",11.761488706281,0.222758528391262,0.582158660687285,0.382642299142777,0.701985002642888,NA
"EXOSC3",8.57833548648214,0.334518492674797,0.702225512609832,0.476369039101918,0.633811487980194,NA
"CIB1",203.911694333521,-0.320379568030613,0.409103727428065,-0.783125516955714,0.433553408136905,0.740228285956156
"SEMA4B",6.42711090034357,-0.496673306554739,0.736882191270865,-0.674019961994401,0.500298622667636,NA
"SERINC4",9.40293703414793,-0.00396490035310295,0.527009363662394,-0.00752339640713271,0.993997254789393,NA
"SERF2",100.873168100947,-0.3778420783356,0.514238062259918,-0.734761010639897,0.462485056250526,0.763359912269048
"LOC120758679",35.782573202485,-1.36959994465797,0.418863787216712,-3.2697979306322,0.00107624335503448,0.0766285268784553
"ZNF76",72.2939715801226,0.10445458954535,0.331569042980042,0.315031188094473,0.752737973939461,0.913102058397228
"CHRD",9.13646862350811,-0.252240799461461,0.600356413257064,-0.420151753011182,0.674374597808846,NA
"DTX4",15.6974230005168,0.564221295809448,0.558301773722984,1.01060272842587,0.312206609424797,NA
"MPEG1",28.1366009225505,1.51593929893969,0.595624928632498,2.54512399677454,0.0109238939846301,0.169470685578069
"EXOSC5",81.3836811083605,-0.429755042360559,0.335713543975803,-1.28012423112585,0.20050144793414,0.543670280274315
"EMC4",129.969418110492,-0.758578015204275,0.352928013505485,-2.14938453785416,0.0316039301100507,0.258487283270112
"TOMM5",139.73881692203,-0.783197870206683,0.428109679273564,-1.82943275549305,0.067334804378039,0.354437834095763
"TRUB2",6.6969304851012,0.414591301419426,0.61434754608969,0.674848144276463,0.499772249048393,NA
"SWI5",13.3047551657878,-0.77703499090803,0.440449452895338,-1.76418652764832,0.0777005802073335,NA
"CKAP4",105.080193008743,0.31757515232329,0.316332704984381,1.00392766008488,0.315413483105226,0.644943598191236
"POFUT2",632.61187078411,-0.390364438552895,0.294063817353683,-1.32748204816843,0.184349274445882,0.527500048982023
"NCDN",54.8510022607839,0.416222118551597,0.326664204079948,1.27415894779132,0.202607090794227,0.546643144049523
"CHMP5",541.604609978818,-0.452542091085126,0.186334674760562,-2.42865205666437,0.0151550686565539,0.191605391388655
"YIPF3",71.2769691729199,0.0546124479109565,0.296941164203676,0.18391672996034,0.854078780073145,0.949225906739197
"RPS10",1152.329430437,-0.496904029549495,0.299111432176516,-1.66126726061161,0.0966597822788909,0.412756797559607
"SKA2",7.62437445030408,0.379251130547685,0.644215536376904,0.588702241924511,0.556061033710128,NA
"TNFAIP1",342.719871786517,0.0413906589425065,0.207561981812239,0.199413488834138,0.841939309812609,0.94332905277
"LOC120755401",4.77659908584339,0.275294595554382,0.594653903918045,0.462949278127203,0.643400724335147,NA
"HDDC3",6.88892072630165,0.117049103246947,0.660485485779449,0.177216768221357,0.859338124989026,NA
"VPS33B",92.6529931492981,0.0681588753844108,0.354659358824411,0.192181240078753,0.847600240247728,0.945755200434779
"CHMP7",352.670444674686,-0.663626650434633,0.293808306811322,-2.25870622119885,0.0239016652329406,0.232619947677137
"LOC120752162",6.69208950739079,1.78479638977782,0.752766024841285,2.37098425125408,0.0177407869973345,NA
"NAGPA",103.946452006599,-0.350412749692003,0.349259847232449,-1.00330098769924,0.315715659726488,0.645361354605611
"PRPF3",1035.74872874441,-0.167457586909841,0.241351496494621,-0.693832809582654,0.487787064298093,0.77832866549877
"LMAN2",328.904719183228,-0.433298699363009,0.306515911279914,-1.41362547070947,0.157471898640561,0.498194538075189
"RBM15B",379.246671732525,0.0189946878024041,0.316079815831132,0.0600945927295535,0.952080296558364,0.981933696900647
"DNAJC30",222.849098867221,-0.412061508520254,0.34447855209636,-1.1961891560813,0.231622751594372,0.575497241185439
"DEK",26.622742238611,0.41898875256348,0.474912406840708,0.882244276056605,0.377644723296724,0.695822125621342
"LRR1",17.9906590874793,0.823094853881679,0.466018739280479,1.76622694433386,0.0773577823529493,NA
"LOC120756855",5653.565666019,-0.343573293875868,0.226909047787494,-1.51414541300104,0.12998896284079,0.466671506659239
"NUP43",5.73831497188614,0.398828030853879,0.632764068064914,0.630295004066135,0.528501591052075,NA
"AMPD2",31.4676963300634,-0.699226769862054,0.399977422965212,-1.74816559564381,0.0804353571442827,0.382874564196994
"LOC120760216",1077.24238182558,-0.21029883479805,0.155244285123268,-1.35463173173213,0.175534918339233,0.51555283875231
"SLC22A31",22.5001127140962,-1.24596424750911,0.729974013466871,-1.70686109987895,0.0878478726132848,NA
"CDH15",7.36909171463623,-0.396920260369589,0.785625626429854,-0.505228249965989,0.61339853071707,NA
"CBX4",11.1179641762101,0.878365739933406,0.60516050052997,1.45145914044981,0.14665205194866,NA
"THOC3",398.174144166686,-0.612885821961643,0.315312888242979,-1.94373856830538,0.0519269851459639,0.316350202342484
"PEX13",107.017655136116,0.135549610784899,0.291032246111164,0.465754611717917,0.641391156915414,0.854740137644652
"LOC120765749",7.40209546969852,0.682147999374304,0.694677752869735,0.98196321467951,0.326117970880527,NA
"MRTO4",12.7420927962809,0.380211459173637,0.481373032201856,0.789847859641213,0.429616624786262,NA
"AKR7A2",6.81060125680932,1.1043732729273,0.678111985287286,1.6286001381607,0.103397695009741,NA
"BAHCC1",23.068938952852,1.43134673660883,0.564260395815789,2.53667765312403,0.0111909945635129,NA
"LOC120764617",5.26521303179602,0.407846598258118,0.710546166570498,0.573990287255533,0.565974373892415,NA
"IFT25",6.84678687623839,0.415934805446655,0.581474406879037,0.715310597553404,0.474417141605288,NA
"DEPDC1",13.2801047786776,0.136761072422485,0.516203333903829,0.264936437717707,0.791058427748185,NA
"TIMP2",44.1348573844928,0.232898520096315,0.384184426924999,0.60621541055276,0.544371720822264,0.806688538282038
"HGS",385.016617500045,-0.372340880617557,0.202576411013805,-1.83802684011508,0.0660584503929838,0.350171911017353
"CTDSPL2",18.4840034297449,-0.236006046283104,0.493768726856584,-0.477968800870721,0.632672411077904,NA
"LOC120753504",90.0139769949018,0.801992885507059,0.368272762699696,2.17771436483082,0.0294273087827426,0.249939969539282
"GRN",109.13991057891,0.058944004280025,0.475084793013817,0.124070492566389,0.901259461130177,0.96525102829547
"KANSL2",30.9086999590641,0.00877754086402372,0.388244063287225,0.0226083067174424,0.981962717719993,0.993896212257802
"LOC120749836",22.6487200837394,-0.580399075241508,0.546414808998525,-1.06219499487078,0.288147171581038,NA
"LOC120748658",139.246383138302,-0.0824245803280606,0.224217980018116,-0.367609146783861,0.713164693562563,0.891979752441866
"ALG2",16.7742740748561,-0.244809597774626,0.374410502602318,-0.65385344714716,0.51320622861563,NA
"PIM1",2224.51786953121,-0.230035033651047,0.245615394681139,-0.936566024086893,0.348981835660172,0.672903607654872
"BECN1",415.308121340053,-0.245176426441112,0.18582508540288,-1.31939358945836,0.187037563792623,0.528912518789049
"CNTD1",164.264313285873,0.113134975982084,0.305061777227334,0.370859230580614,0.710742382415652,0.890974822756872
"RPL38",662.237446915559,0.0307375446272923,0.315578842464527,0.0974005240251407,0.922408328596946,0.975175044487299
"SIGMAR1",9.83065360921206,0.131256813113186,0.488977671853998,0.268431097509045,0.788367505203739,NA
"LOC120759651",5.88971134561117,1.14367974659793,0.752318236221493,1.52020739566548,0.128458859251349,NA
"ALDH2",1982.10870391731,-0.314843054346949,0.222840050908281,-1.41286565437259,0.157695229401038,0.498667850242458
"LOC120748273",44.6835690732136,-0.476906697967462,0.399389296230238,-1.19408983282451,0.232442829902587,0.575913297238497
"PIGT",382.783886591029,-0.243705415810818,0.274609835210904,-0.887460624356911,0.374830956536599,0.693772227222198
"RASSF2",57.3818256344183,0.968155670717444,0.480168845620818,2.0162817299521,0.0437705242661387,0.296954690206783
"BHLHE40",103.094712627165,-1.11216948012531,0.591491758741512,-1.88027891122544,0.0600700758759538,0.336352643398139
"LOC120763539",3764.02979775517,-0.593440874309492,0.282213521223026,-2.10280808565693,0.0354825489435095,0.272731773924884
"KLHL11",956.186372655378,0.0255571633211461,0.213372803482814,0.119777042359593,0.90465976853896,0.966380081237765
"LOC120764569",6.83424448860305,-0.511375033147842,0.677752293945502,-0.75451612294943,0.450539367799304,NA
"SRD5A3",48.9819360462579,1.00396019467171,0.400161413980737,2.50888806265574,0.0121111856584878,0.175042862807717
"TRMT5",72.8782527646467,-0.399750094205847,0.346223980290271,-1.15459967235863,0.248254400918707,0.588364669871806
"LOC120762886",21.4147659592499,-0.435075167951009,0.400452024014382,-1.08646015467607,0.277275460204103,NA
