"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYG1",9.56378655678118,-0.520489686604632,0.428196204504298,-1.21554016857104,0.224160138127252,0.524773760599484
"SP1",143.410585776183,-0.0333644815544047,0.224138372410744,-0.148856624573247,0.881666768369868,0.957988580375284
"LOC120750608",40.2790034972418,-0.292667295124393,0.249718723747296,-1.17198778983253,0.241201958394784,0.541721731742952
"LOC120757941",15.3494325208196,0.850413960061759,1.22460985728318,0.694436644457865,0.487408419747039,0.754375869664636
"PAFAH1B2",161.683249462757,-0.702706140766336,0.248506689197722,-2.82771519364308,0.00468814945636459,0.0537827663747425
"SIDT2",442.314387340963,0.670688785599133,0.19059506929136,3.51891991798519,0.000433307482389264,0.00907211624914207
"TAGLN",37.257759201284,0.653256743898819,0.350055476150412,1.86615204847739,0.0620200956967105,0.274251235030277
"PCSK7",144.811409296472,0.21245634306506,0.197943990171505,1.07331545090599,0.283129605059164,0.588142871830209
"LOC120750607",34.9703397781108,-0.456483516131009,0.279264576284003,-1.6345915482914,0.102134700578613,0.358552176606594
"LOC131378794",7.20144750925038,0.167148127448313,0.452200211883666,0.369633014438554,0.71165594866635,0.880590737188018
"LOC120766032",8.43079123251745,-0.277657289762814,0.398887105513324,-0.696079883067414,0.486378804054021,0.753680000285412
"LOC120747632",30.0347278887626,0.751534909081696,0.388628598029865,1.93381267588532,0.0531361637086121,0.251441712419351
"LOC120747636",7.80584624375816,0.305933468715102,0.43775183488203,0.698874212137906,0.484630644771558,0.752714866004298
"PRKAG1",112.677161635231,0.0480174564190895,0.24302469277333,0.197582623687855,0.843371631072233,0.943143214218492
"KMT2D",76.7004972201217,0.043454324390341,0.20872161537989,0.208192737063915,0.835078479331422,0.939488152696116
"LOC120765350",80.7777706275889,0.328463837374372,0.249372974062896,1.31715892072382,0.187785360333928,0.485388008777522
"PCBP2",291.118213059105,-0.334064781407642,0.172329019118122,-1.93852888571633,0.0525587301979488,0.249663748145134
"SNAPIN",42.8190581110057,-0.00225497643535072,0.2160297732585,-0.0104382669172755,0.99167161922525,0.997013668993887
"CZH9orf40",117.553959368355,0.311557868927798,0.212165034002763,1.46846944121688,0.141976751108898,0.42308583120561
"PLEKHG3",57.0554155530427,-0.474104261092067,0.366512566702895,-1.29355526703233,0.195819082349156,0.495871484701538
"SPTB",23399.061484198,0.0136484430386455,0.161131839095169,0.0847035763712986,0.932497052655337,0.978315246938056
"CCT3",325.701738884965,-0.299624640717674,0.164820498491867,-1.81788456811674,0.0690817774213143,0.291721377634296
"LOC120764362",167.692675490606,-0.270310594686422,0.28090035600343,-0.96230064828797,0.335898603438677,0.636489974416375
"THOC5",34.7188386556086,0.185075593648785,0.228734245251962,0.809129360778115,0.418440741428884,0.7041606642774
"LOC120764604",9.32775801377061,-0.731463963879358,0.37128104592571,-1.97010855228445,0.0488259309762174,0.239547285954516
"LOC131378795",9.04595387881843,1.51434031435469,0.620513649786839,2.44046253434538,0.0146684673935278,0.119235370340955
"LOC120765797",90.9130275608261,-3.27152224656531,0.28415623814008,-11.513110773069,1.13315772515416e-30,6.87146844533484e-28
"RHOG",8.69129998216282,0.800917360981756,0.556360332269046,1.43956589736604,0.149990253746512,0.433389881854598
"ZDHHC18",778.120134493197,-0.215261102375031,0.136460386438375,-1.57746220711636,0.114689211523476,0.379902792431734
"SERPING1",168.137366541162,0.957112069357712,0.48563356727809,1.97085237481049,0.0487407639322334,0.23938768289827
"LOC120754801",31.7738718531723,0.580463856719329,0.462512583412956,1.25502284161869,0.209470468174198,0.510313202899601
"YPEL4",13.3660859728717,-0.00498312389012152,0.499171166393211,-0.00998279593376229,0.992035013544425,0.997077401458574
"LOC120750287",35.3141789386699,-1.34956285648319,0.360052734327717,-3.74823665484185,0.000178082185945177,0.00468160567444315
"LOC120762097",710.000307955377,-0.162440647911284,0.166279359502774,-0.976914082403441,0.328611689388004,0.631632898863554
"LOC120760311",9.43944899519422,0.58008437647729,0.567207015969469,1.02270310511906,0.306448242817267,0.611820284606202
"LOC120756231",5.9045220331066,0.00442038110731735,0.545503320805601,0.00810330742036422,0.993534566875189,0.997482386346216
"LOC120749495",13.8826767181396,0.800353011638678,0.403535910623676,1.98335015687132,0.0473283304870568,0.235741882983795
"LOC120748875",12.5783374587769,0.748456867067122,0.498836601523046,1.50040487161916,0.133509558382787,0.410149102646412
"RBM18",1466.62817715423,-0.210626609826405,0.173518149075253,-1.21385924728288,0.224801477218795,0.525383925175272
"LOC120760312",9.67593914738799,0.657873389272899,0.484416994106474,1.35807248151228,0.174440686117498,0.468748147983681
"LOC120766065",10.7138877193057,-0.360549220713712,0.588591982144446,-0.612562236067344,0.540165834740677,0.789520390568343
"BUB1B",9.39857734476141,-0.146019532604762,0.399718499242012,-0.365305916242705,0.714883062614476,0.882649295450901
"GPN2",243.088841397443,-0.00146332698530216,0.2305182443349,-0.00634798772446063,0.994935072619362,0.99789716843596
"SFN",42.1913827678815,-0.400348409289631,0.235263524005422,-1.70170199984084,0.0888112453463689,0.335988296377084
"TRMT10B",94.5399799287406,0.738892504534773,0.16356426100816,4.51744470326504,6.25903659024859e-06,0.000261156866169271
"FRMPD1",8.36926200918012,0.88769417279588,0.462061334562488,1.92116090742891,0.0547114249001371,0.255398481741797
"LOC120747972",18.8439533193037,-0.416573721309062,0.357132025236029,-1.1664417970742,0.24343586778996,0.544587470097756
"POLR2H",139.054687303356,-0.238876357907237,0.244200132761312,-0.978199132023902,0.327975845676905,0.630918009491274
"LOC120748733",76.6565848356888,-0.521610897028104,0.583647634888838,-0.893708576626804,0.371477835318978,0.666199209396969
"PRXL2A",5.05823037675232,0.860947999265835,0.558591260056068,1.54128440745639,0.123247582105852,NA
"NAB2",67.1472323641919,0.0517131385396899,0.261975168605158,0.197397099942822,0.843516798884998,0.943162729275715
"STAT6",52.7554138627226,0.214768177745208,0.210889675172516,1.01839114489374,0.308492108733989,0.613331306366768
"HARS1",43.0725555934246,-0.00267597529214504,0.182215320830841,-0.0146857864637479,0.988282858896017,0.995439355344089
"EMC1",203.625576343963,0.341993850957494,0.13706999280067,2.49503077931016,0.0125946204822442,0.107974239308664
"CHEK1",15.7270487901418,0.0935433178202501,0.340295539737441,0.274888462812133,0.78340193116997,0.91668960673347
"KLF8",61.316505803788,-0.531809916613769,0.295621071121774,-1.79895808710707,0.0720253109406323,0.298070528607913
"RBMX2",361.635716864292,-0.317825002267925,0.160599988102924,-1.97898521676253,0.0478176707174292,0.236563727867344
"RAB33A",68.0559118474388,-0.090755734131725,0.359375911005916,-0.252537054800624,0.800625976413985,0.923822641311887
"MARS2",20.9215398252592,0.222844658237426,0.228150416355458,0.976744473217328,0.328695671835078,0.631632898863554
