"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYG1",9.56378655678118,-0.469129604526269,0.203726475155994,-2.30274245979593,0.0212933376994269,0.609378340438321
"SP1",143.410585776183,-0.10890200877731,0.115339780797629,-0.944184287712363,0.34507548296658,0.924440625833878
"LOC120750608",40.2790034972418,0.0411410671357518,0.127713639561383,0.322135265090291,0.747350223358865,0.989693174170138
"LOC120757941",15.3494325208196,0.0608943765525543,0.612711848755651,0.0993850154460436,0.92083257979916,0.996365771343771
"PAFAH1B2",161.683249462757,-0.198108718531172,0.12164092769607,-1.62863538024112,0.103390229814538,0.759228648930121
"SIDT2",442.314387340963,-0.210731900317688,0.0889445231878857,-2.36925099786684,0.0178241526128451,0.600758357848857
"TAGLN",37.257759201284,-0.371121002877419,0.15898396165379,-2.33432982180672,0.0195784583538597,0.605634508171195
"PCSK7",144.811409296472,-0.0891864132982479,0.10055170717876,-0.886970652220684,0.375094701180067,0.92910674280002
"LOC120750607",34.9703397781108,0.029300911096636,0.143352805012498,0.204397194000366,0.838043122764626,0.996365771343771
"LOC131378794",7.20144750925038,-0.173350866679127,0.233537400106065,-0.742283105833997,0.457915825449915,0.948192233722459
"LOC120766032",8.43079123251745,-0.156552731163089,0.210536558052665,-0.743589296847572,0.457124980387109,0.948192233722459
"LOC120747632",30.0347278887626,-0.276963694608593,0.194590557979374,-1.42331517769712,0.15464480906741,0.82077313380672
"LOC120747636",7.80584624375816,-0.120290178265438,0.221903468604717,-0.542083361841065,0.587761080023568,0.961907480746724
"PRKAG1",112.677161635231,-0.183192065304457,0.117261770293191,-1.56224884586357,0.118229377648878,0.780809605139878
"KMT2D",76.7004972201217,-0.0301089921839154,0.112237155536463,-0.268262252727294,0.788497459590645,0.992851585333789
"LOC120765350",80.7777706275889,-0.0721646276668482,0.12644292908112,-0.570728851279226,0.568183458429284,0.958204260383393
"PCBP2",291.118213059105,0.0146909655876628,0.0889885143787881,0.165088334041956,0.868874455108164,0.996365771343771
"SNAPIN",42.8190581110057,-0.0126000127427974,0.109562315429551,-0.115003162295336,0.908442615527476,0.996365771343771
