"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYG1",9.56378655678118,-0.636230936723435,0.427004220848196,-1.48998746536892,0.136227531780763,0.99771783904927
"SP1",143.410585776183,-0.324552599414316,0.221684334889362,-1.46403037263004,0.143185649801077,0.99771783904927
"LOC120750608",40.2790034972418,-0.152206349863075,0.247840751406228,-0.614129633643655,0.539129667443127,0.99771783904927
"LOC120757941",15.3494325208196,0.0143394684486631,1.20978226275892,0.0118529332840125,0.990542948973024,0.99915917555972
"PAFAH1B2",161.683249462757,-0.309155739937939,0.246181680336786,-1.25580319183378,0.209187334097894,0.99771783904927
"SIDT2",442.314387340963,-0.297135762353651,0.188241302803968,-1.57848335050615,0.114454610120709,0.99771783904927
"TAGLN",37.257759201284,-0.224767112729981,0.344872548849399,-0.651739645500558,0.514569142445306,0.99771783904927
"PCSK7",144.811409296472,-0.233358550327428,0.195595388532028,-1.19306775113063,0.232842840164826,0.99771783904927
"LOC120750607",34.9703397781108,-0.262563968617211,0.277369900103913,-0.946620266001627,0.34383231326887,0.99771783904927
"LOC131378794",7.20144750925038,-0.509939381063635,0.447595992805373,-1.13928495621133,0.254584320931925,0.99771783904927
"LOC120766032",8.43079123251745,-0.611041021923255,0.397742543287724,-1.53627272776106,0.124471505341584,0.99771783904927
"LOC120747632",30.0347278887626,-0.649753586389338,0.38233534903152,-1.69943372496215,0.0892374920869559,0.99771783904927
"LOC120747636",7.80584624375816,-0.23467189060453,0.432011856710103,-0.543207060083084,0.586987246144366,0.99771783904927
"PRKAG1",112.677161635231,-0.254854360761445,0.240312231583751,-1.06051347899296,0.288911061144226,0.99771783904927
"KMT2D",76.7004972201217,-0.36364512565838,0.206431192899413,-1.7615803142482,0.0781402323846869,0.99771783904927
"LOC120765350",80.7777706275889,-0.23671051088944,0.246241105705336,-0.961295678929818,0.336403519964932,0.99771783904927
"PCBP2",291.118213059105,-0.181612649001656,0.170601954979589,-1.06454025701748,0.287084027631212,0.99771783904927
"SNAPIN",42.8190581110057,-0.0507233374078837,0.214023269058992,-0.236999171309278,0.812657433146065,0.99771783904927
"CZH9orf40",117.553959368355,0.102744027673765,0.209634940928485,0.490109269087996,0.624056579394775,0.99771783904927
"PLEKHG3",57.0554155530427,-0.226781327726619,0.363046420345353,-0.624662068037719,0.532192873677002,0.99771783904927
"SPTB",23399.061484198,-0.169110892807633,0.159331655425647,-1.06137661317747,0.28851878084985,0.99771783904927
"CCT3",325.701738884965,-0.057266876127174,0.163165781853171,-0.350973564902885,0.725608180568445,0.99771783904927
"LOC120764362",167.692675490606,-0.109509213778719,0.277950869859101,-0.393987663482513,0.693590147268602,0.99771783904927
"THOC5",34.7188386556086,-0.212156402808295,0.22609083167487,-0.938368005622565,0.348055322156514,0.99771783904927
"LOC120764604",9.32775801377061,-0.200216033192936,0.371082676879757,-0.539545620605223,0.589510427256686,0.99771783904927
"LOC131378795",9.04595387881843,0.285625914314022,0.604919214111721,0.472171998592313,0.636804024769775,0.99771783904927
"LOC120765797",90.9130275608261,-0.601317030744913,0.28415367553745,-2.11616840643563,0.0343304872044969,0.99771783904927
"RHOG",8.69129998216282,-0.055724847234387,0.546003579400422,-0.102059490700738,0.918709454797217,0.99771783904927
"ZDHHC18",778.120134493197,-0.235996521532147,0.134997158042652,-1.74815918315543,0.0804364672110614,0.99771783904927
"SERPING1",168.137366541162,-0.400740562277369,0.479833231256099,-0.835166337329987,0.403624060245567,0.99771783904927
"LOC120754801",31.7738718531723,-0.0692542150608881,0.456430747854942,-0.151729951118231,0.879399933091166,0.99771783904927
"YPEL4",13.3660859728717,-0.144480299907308,0.494013750987035,-0.292462101750484,0.769933332203072,0.99771783904927
"LOC120750287",35.3141789386699,-0.00138992616138329,0.358645472213205,-0.00387548782591911,0.996907815838583,0.999592646274363
"LOC120762097",710.000307955377,0.0223278261565826,0.164483021338223,0.135745476797088,0.892022495151465,0.99771783904927
"LOC120760311",9.43944899519422,0.832472636316882,0.560234741258775,1.4859354035175,0.137296208009778,0.99771783904927
"LOC120756231",5.9045220331066,-0.382104433071078,0.540549846184273,-0.706881031912863,0.479640412428331,0.99771783904927
"LOC120749495",13.8826767181396,0.543206279904083,0.396474660555022,1.37009078750115,0.170658563235277,0.99771783904927
"LOC120748875",12.5783374587769,0.546803376339295,0.491253096360102,1.11307873760143,0.265674614601886,0.99771783904927
"RBM18",1466.62817715423,-0.0464067966828857,0.1716103284625,-0.27041960177255,0.78683746162966,0.99771783904927
"LOC120760312",9.67593914738799,-0.30329426643444,0.475734376846674,-0.637528589892483,0.523780593428363,0.99771783904927
"LOC120766065",10.7138877193057,-0.638501389290803,0.583472446366951,-1.0943128390492,0.27381779623282,0.99771783904927
"BUB1B",9.39857734476141,-0.036248530964119,0.397094722329072,-0.0912843433211884,0.927266658263906,0.99771783904927
"GPN2",243.088841397443,-0.190740040697568,0.227968059341625,-0.836696339164479,0.402763277426245,0.99771783904927
"SFN",42.1913827678815,-0.352930073446472,0.233740623092515,-1.50992184746073,0.131063367217642,0.99771783904927
"TRMT10B",94.5399799287406,0.0245207871333461,0.160640735049939,0.152643643754016,0.878679305538785,0.99771783904927
"FRMPD1",8.36926200918012,-0.0939833836134571,0.451120039740791,-0.208333426436695,0.834968633667958,0.99771783904927
"LOC120747972",18.8439533193037,-0.08756690050826,0.354921162529253,-0.246722116777251,0.805123288882105,0.99771783904927
"POLR2H",139.054687303356,-0.145990964500475,0.241704338523348,-0.604006388103674,0.545839395072493,0.99771783904927
"LOC120748733",76.6565848356888,-0.534030694453837,0.577403193488,-0.924883513767639,0.355026503096525,0.99771783904927
"PRXL2A",5.05823037675232,-0.0632178008165391,0.545029175977745,-0.115989755416544,0.90766066098589,0.99771783904927
"NAB2",67.1472323641919,-0.466116970650176,0.259011098821827,-1.79960230573292,0.0719234567565088,0.99771783904927
"STAT6",52.7554138627226,0.00564526221998698,0.208416844589229,0.0270864009629993,0.978390821241801,0.998451161786335
"HARS1",43.0725555934246,-0.29827667867248,0.180740362065323,-1.65030475353744,0.0988806205420134,0.99771783904927
"EMC1",203.625576343963,0.147153986969241,0.135386555197782,1.08691728476485,0.277073366702261,0.99771783904927
