Sample,Box ID,hatch date,hatch_number,female_age,Treatment,iButton,Date set up,num_chicks,Trial Day 1,Age_D1,Mass_D1,Mean_above_38C,Avg Trial Temp,Trial Start,Trial End,Trial Day 2,Age_D2,Mass_D2,Time Bled,Avg Trial Temp,num chks bled,num chks  above 0.25,Counts?,Comments
2881-85599,LH15,5-May,4,ASY,Con,1CD,12-May,4,16-May,D12,,0,31.53729,11:15,15:16,17-May,D13,,2:48,27.70738,1,1,Y,Big storm between d12 & d13
2881-91086,WS10,16-May,3,ASY,Con,1CF,23-May,3,27-May,D12,,0,33.41157,11:00,14:59,28-May,D13,,3:00,27.36857,2,1,Y,
2881-91087,WS17,16-May,4,SY,Hot,69O,23-May,3,27-May,D12,,1,39.87338,11:25,15:20,28-May,D13,,3:22,33.81852,2,2,Y,
2881-91090,WS19,16-May,6,ASY,Con,DBA,23-May,5,27-May,D12,,0,34.89738,11:57,16:03,28-May,D13,,3:37,28.47252,1,1,Y,
2881-90802,WS1,18-May,4,ASY,Hot,D60,26-May,4,30-May,D13,20.2,1,41.694,10:26,14:32,31-May,D14,19.9,2:33,35.80948,2,2,Y,
2881-90803,WS16,19-May,2,ASY,Con,2OO,27-May,2,30-May,D12,23,0,36.49757,10:43,14:45,31-May,D13,22.5,2:46,37.32852,2,1,Y,
2881-90806,WS6,18-May,5,ASY,Con,E96,26-May,5,30-May,D13,19.6,0,36.34252,11:03,15:00,31-May,D14,19.4,3:00,37.50681,2,2,Y,
2881-90808,LH5,18-May,5,ASY,Hot,96O,26-May,5,30-May,D13,21.6,1,38.81157,11:21,15:18,31-May,D14,21.6,3:17,31.3509,2,2,Y,
2881-90810,LH4,18-May,6,ASY,Con,OOO,26-May,6,30-May,D13,21.7,0,35.0579,11:34,15:37,31-May,D14,21.1,3:26,37.14843,2,2,Y,
UH12_Chick_A,UH12,20-May,6,ASY,Hot,BEA,27-May,6,30-May,D11,16.3,1,43.06371,11:50,15:55,31-May,D12,15.5,3:58,38.086,2,1,Y,
2881-90812,LH6,19-May,6,ASY,Hot,AA7,27-May,6,30-May,D12,17.9,1,38.95205,12:05,16:10,31-May,D13,18,4:22,35.15443,1,1,Y,One banded chick gone; 2c fewer
2881-90835,UH16,20-May,6,ASY,Con,1CD,27-May,6,30-May,D11,19.4,0,35.83795,12:16,16:28,31-May,D12,19.8,4:43,37.04867,2,2,Y,
2881-90837,WS3,22-May,4,ASY,Con,4BC,30-May,4,2-Jun,D12,21,0,35.9571,10:01,14:03,3-Jun,D13,20.7,2:05,35.60052,2,2,Y,
2881-90839,WS9,22-May,6,ASY,Hot,DBA,30-May,6,2-Jun,D12,20.3,1,41.5799,10:22,14:17,3-Jun,D13,20.8,14:13,38.60781,2,2,Y,
2881-90841,LH16,22-May,6,ASY,Con,1CF,30-May,6,2-Jun,D12,20.4,0,36.21695,10:32,14:35,3-Jun,D13,20.3,14:33,34.88581,2,2,Y,
2881-90843,UH17,21-May,5,ASY,Hot,AED,31-May,5,2-Jun,D13,23.2,1,40.53329,10:55,14:50,3-Jun,D14,22.6,14:50,36.6131,2,2,Y,
2881-90846,RE5,21-May,4,SY,Hot,E67,30-May,4,2-Jun,D13,20.7,1,39.78962,11:02,15:08,3-Jun,D14,20.4,15:07,36.888,2,2,Y,
2881-90848,RE6,22-May,4,ASY,Hot,69O,30-May,5,2-Jun,D12,20,1,41.202,11:18,15:08,3-Jun,D13,21.3,15:07,36.66919,2,2,Y,
2881-91092,UH18,16-May,6,ASY,Hot,4BC,23-May,5,27-May,D12,,0,37.0483,12:33,16:33,28-May,D13,,4:02,24.23185,1,0,N,hard to bleed; 92 was not banded on D12 so selected based on hematoma
