Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_053450.1	7	122728	1	minus	Rho GTPase activating protein 39	ARHGAP39	120761257	protein-coding	XM_040082317.1	XP_039938251.1	1106	
NC_053450.1	134547	134882	1	minus	feather beta keratin-like	LOC120751571	120751571	protein-coding	XM_040061590.1	XP_039917524.1	111	
NC_053450.1	137938	138634	1	plus	feather beta keratin-like	LOC120751575	120751575	protein-coding	XM_040061603.2	XP_039917537.1	111	
NC_053450.1	141563	141895	1	minus	feather beta keratin-like	LOC120756260	120756260	protein-coding	XM_040072314.1	XP_039928248.1	110	
NC_053450.1	144983	145318	1	plus	feather beta keratin-like	LOC120755659	120755659	protein-coding	XM_040070965.2	XP_039926899.1	111	
NC_053450.1	148603	148938	1	minus	feather beta keratin-like	LOC120755304	120755304	protein-coding	XM_040070088.1	XP_039926022.1	111	
NC_053450.1	151042	151377	1	plus	feather beta keratin-like	LOC120755668	120755668	protein-coding	XM_040070989.1	XP_039926923.1	111	
NC_053450.1	154407	154745	1	plus	feather beta keratin-like	LOC120759993	120759993	protein-coding	XM_040079824.1	XP_039935758.1	112	
NC_053450.1	157464	157799	1	minus	feather beta keratin-like	LOC120758288	120758288	protein-coding	XM_040076388.1	XP_039932322.1	111	
NC_053450.1	160301	160636	1	plus	feather beta keratin-like	LOC120756758	120756758	protein-coding	XM_040073402.1	XP_039929336.1	111	
NC_053450.1	163354	163692	1	minus	feather beta keratin-like	LOC120755784	120755784	protein-coding	XM_040071248.1	XP_039927182.1	112	
NC_053450.1	166757	167092	1	minus	feather beta keratin-like	LOC120755741	120755741	protein-coding	XM_040071169.1	XP_039927103.1	111	
NC_053450.1	169579	169914	1	plus	feather beta keratin-like	LOC120752539	120752539	protein-coding	XM_040063742.1	XP_039919676.1	111	
NC_053450.1	174236	174568	1	minus	feather beta keratin-like	LOC120752542	120752542	protein-coding	XM_040063755.1	XP_039919689.1	110	
NC_053450.1	177319	177657	1	plus	feather beta keratin-like	LOC120752535	120752535	protein-coding	XM_040063727.2	XP_039919661.1	112	
NC_053450.1	181110	181448	1	minus	feather beta keratin-like	LOC120757045	120757045	protein-coding	XM_040074095.1	XP_039930029.1	112	
NC_053450.1	185985	186317	1	plus	feather beta keratin-like	LOC120759488	120759488	protein-coding	XM_040078794.1	XP_039934728.1	110	
NC_053450.1	188960	189292	1	minus	feather beta keratin-like	LOC120764358	120764358	protein-coding	XM_040088313.1	XP_039944247.1	110	
NC_053450.1	193128	193463	1	plus	feather beta keratin-like	LOC120749490	120749490	protein-coding	XM_040056944.1	XP_039912878.1	111	
NC_053450.1	195972	196310	1	minus	feather beta keratin-like	LOC120749359	120749359	protein-coding	XM_040056703.2	XP_039912637.2	112	
NC_053450.1	198508	198843	1	plus	feather beta keratin-like	LOC120749472	120749472	protein-coding	XM_040056909.2	XP_039912843.1	111	
NC_053450.1	201879	202214	1	plus	feather beta keratin-like	LOC120749480	120749480	protein-coding	XM_040056921.1	XP_039912855.1	111	
NC_053450.1	204526	204861	1	plus	feather beta keratin-like	LOC120749438	120749438	protein-coding	XM_040056835.1	XP_039912769.1	111	
NC_053450.1	207166	207501	1	plus	feather beta keratin-like	LOC120749454	120749454	protein-coding	XM_040056877.1	XP_039912811.1	111	
NC_053450.1	210232	210564	1	plus	feather beta keratin-like	LOC120749519	120749519	protein-coding	XM_040057005.1	XP_039912939.1	110	
NC_053450.1	212878	213210	1	plus	feather beta keratin-like	LOC120749510	120749510	protein-coding	XM_040056977.2	XP_039912911.1	110	
NC_053450.1	215935	216267	1	plus	feather beta keratin-like	LOC120749538	120749538	protein-coding	XM_040057041.1	XP_039912975.1	110	
NC_053450.1	218572	218907	1	plus	feather beta keratin-like	LOC120749446	120749446	protein-coding	XM_040056863.2	XP_039912797.1	111	
NC_053450.1	221646	221978	1	plus	feather beta keratin-like	LOC120749531	120749531	protein-coding	XM_040057029.1	XP_039912963.1	110	
NC_053450.1	224289	224597	1	plus	feather beta keratin-like	LOC120749567	120749567	protein-coding	XM_040057092.1	XP_039913026.1	102	
NC_053450.1	227330	227668	1	plus	feather beta keratin-like	LOC120749367	120749367	protein-coding	XM_040056715.1	XP_039912649.1	112	
NC_053450.1	229976	230308	1	plus	feather beta keratin-like	LOC120749523	120749523	protein-coding	XM_040057019.1	XP_039912953.1	110	
NC_053450.1	232615	232950	1	plus	feather beta keratin-like	LOC120749505	120749505	protein-coding	XM_040056966.1	XP_039912900.1	111	
